Date,Company,ISIN,Operation,Ticker,Qty,Price,Total,Fees,TPCVM,Realized P&L
"07/07/25","Bank","","Depot","DPT",1,12000,12000,0,0,
"13/07/25","Bank","","Depot","DPT",1,21965.33,21965.33,0,0,
"16/07/25","TOTALENERGIES MARK","MA0000012262","Achat","TMA",3,1670,-5059.6,0,0,
"18/07/25","VICENNE","MA0000012759","Achat","VCN",23,236,-5481.74,0,0,
"24/07/25","TGCC SA","MA0000012528","Achat","TGC",1,999.5,-1011.6,0,0,
"28/07/25","VICENNE","MA0000012759","Vente","VCN",-23,387,8313.38,0,0,
"29/07/25","TGCC SA","MA0000012528","Achat","TGC",1,978,-990.08,0,0,
"31/07/25","DELTA HOLDING","MA0000011850","Achat","DHO",27,80.5,-2195.02,0,0,
"31/07/25","SODEP MARSA MAROC","MA0000012312","Achat","MSA",20,878,-17733.84,0,0,
"01/08/25","TGCC SA","MA0000012528","Achat","TGC",13,725,-9518.31,0,0,
"04/08/25","DELTA HOLDING","MA0000011850","Achat","DHO",65,80.5,-5284.3,0,0,
"04/08/25","TOTALENERGIES MARK","MA0000012262","Vente","TMA",-3,1739,5150.35,0,0,
"04/08/25","Bank","","Depot","DPT",1,2000,2000,0,0,
"12/08/25","TGCC SA","","Dividende","TGC",16,11,176,3.5,0,
"15/08/25","DELTA HOLDING","MA0000011850","Achat","DHO",24,87,-2108.67,0,0,
"22/08/25","ENNAKL","MA0000011942","Achat","NKL",4,37.96,-163.01,0,0,
"09/09/25","Bank","","Depot","DPT",1,3000,3000,0,0,
"11/09/25","DELTA HOLDING","MA0000011850","Vente","DHO",-116,87.9,10020.45,0,0,
"11/09/25","SODEP MARSA MAROC","MA0000012312","Achat","MSA",9,996.2,-9054.56,0,0,
"12/09/25","ENNAKL","MA0000011942","Vente","NKL",-22,53.81,1159.52,0,0,
"12/09/25","ENNAKL","MA0000011942","Achat","NKL",18,50.45,-920.1,0,0,
"12/09/25","SODEP MARSA MAROC","MA0000012312","Achat","MSA",1,969,-981.07,0,0,
"17/09/25","VICENNE","MA0000012759","Achat","VCN",7,450,-3181.19,0,0,
"22/09/25","ATTIJARIWAFA BANK","MA0000012445","Achat","ATW",15,773,-11709.79,0,0,
"22/09/25","SODEP MARSA MAROC","MA0000012312","Vente","MSA",-15,970,14327.96,0,0,
"22/09/25","VICENNE","MA0000012759","Achat","VCN",5,447,-2257.13,0,0,
"25/09/25","HIGHTECH PAYMENT S","MA0000012619","Achat","HPS",24,588.9,-14273.52,0,0,
